storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,all_ranks,all_ratings
Restaurant Jacobsen,"Kultorvet 2 80m from Nørreport station, Copenhagen 1175 Denmark",4.0,282,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#191 of 840 European in Copenhagen', '#263 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Meatpacking District Food,"Flaesketorvet , 1711, Copenhagen Denmark",4.5,101,$$ - $$$,"['Vegetarian Friendly', 'Gluten Free Options']","['#264 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Cafe Feel Good,"Noerre Farimagsgade 55, Copenhagen 1364 Denmark",4.5,89,$$ - $$$,"['Cafe', 'International', 'European']","['#49 of 402 Cafe in Copenhagen', '#265 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0)]"
La Fiesta Mexicana,"Frederiksberg Alle 21B, Frederiksberg, Copenhagen 1820 Denmark",4.0,206,$$ - $$$,"['Mexican', 'Latin', 'Central American']",['#13 of 194 Restaurants in Frederiksberg'],"[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Tony's Pizzeria,"Istedgade 38, Copenhagen Denmark",4.5,75,$,"['Italian', 'Pizza', 'Fast Food']","['#31 of 238 Italian in Copenhagen', '#266 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Cafe Victor,"Ny Oestergade 8, Copenhagen 1101 Denmark",4.0,669,$$ - $$$,"['French', 'European', 'Danish']","['#21 of 96 French in Copenhagen', '#267 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
Moeller Coffee & Kitchen,"Noerrebrogade 160, Copenhagen 2200 Denmark",4.0,216,$$ - $$$,"['Cafe', 'International', 'European']","['#268 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 3.5), ('Value', 3.5)]"
Restaurant Rebel,"Store Kongensgade 52, Copenhagen 1264 Denmark",4.0,186,$$$$,"['European', 'Scandinavian', 'Danish']","['#196 of 840 European in Copenhagen', '#269 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 3.5)]"
The Market Asian Kitchen & Bar,"Antonigade 2 In the Gallery between Lloyd and Nespresso, Copenhagen 1106 Denmark",4.0,274,$$ - $$$,"['Asian', 'Vegetarian Friendly', 'Vegan Options']","['#33 of 226 Asian in Copenhagen', '#270 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0)]"
Rosie McGee's Restaurant & Bar,"Vesterbrogade 2a, Copenhagen 1620 Denmark",4.0,794,$$ - $$$,"['American', 'Bar', 'Grill']","['#22 of 112 American in Copenhagen', '#271 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
Famosi e Golosi,"Rolighedsvej 10 Italiensk restaurant tæt på metro Forum og Aksel Møllers Have, Frederiksberg, Copenhagen 1958 Denmark",4.5,123,$$ - $$$,"['Italian', 'Mediterranean', 'European']",['#14 of 194 Restaurants in Frederiksberg'],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Carne Famo,"Gl. Kongevej 51, Frederiksberg, Copenhagen 1610 Denmark",4.0,221,$$ - $$$,"['Italian', 'European', 'Vegetarian Friendly']",['#15 of 194 Restaurants in Frederiksberg'],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Tapa del Toro,"Roemersgade 19, Copenhagen 1362 Denmark",4.5,119,$$ - $$$,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']","['#23 of 109 Mediterranean in Copenhagen', '#272 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Baest,"Guldbergsgade 29, Copenhagen 2200 Denmark",4.0,825,$$ - $$$,"['Italian', 'Pizza', 'European']","['#32 of 238 Italian in Copenhagen', '#273 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.5)]"
Veve,"Dampfaergevej 7, Copenhagen 2100 Denmark",4.5,110,$$$$,"['European', 'Danish', 'Vegetarian Friendly']","['#274 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Almanak - The Standard,"Havnegade 44, Copenhagen 1058 Denmark",4.0,821,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#200 of 840 European in Copenhagen', '#275 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
Ravage Restaurant Copenhagen,"Kongens Nytorv 16, Copenhagen 1050 Denmark",4.0,349,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#201 of 840 European in Copenhagen', '#276 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
Tony's,"Havnegade 47, Copenhagen 1058 Denmark",4.0,465,$$ - $$$,"['Italian', 'European', 'Vegetarian Friendly']","['#33 of 238 Italian in Copenhagen', '#277 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Trattoria Fiat,"Kongens Nytorv 18 Kbh K, Copenhagen 1050 Denmark",4.0,"1,077",$$ - $$$,"['Italian', 'Pizza', 'Mediterranean']","['#34 of 238 Italian in Copenhagen', '#278 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
Skagen Fiskerestaurant Illum Rooftop,"Oestergade 52 4. Sal, Copenhagen 1001 Denmark",4.0,222,$$ - $$$,"['Seafood', 'European', 'Scandinavian']","['#20 of 82 Seafood in Copenhagen', '#279 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0)]"
Cocks & Cows Gl. Strand,"Gammel Strand 34, Copenhagen 1202 Denmark",4.0,965,$$ - $$$,"['American', 'Bar', 'Vegetarian Friendly']","['#23 of 112 American in Copenhagen', '#280 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.5)]"
Poonchai Thai Restaurant,"Istedgade 1, Copenhagen 1650 Denmark",4.0,428,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']",[],"[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Les Trois Cochons,"Vaernedamsvej 10, Copenhagen 1619 Denmark",4.0,480,$$ - $$$,"['French', 'Vegetarian Friendly', 'Gluten Free Options']","['#22 of 96 French in Copenhagen', '#282 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Peder Oxe,"Graabroedretorv 11, Copenhagen 1154 Denmark",4.0,"1,298",$$ - $$$,"['European', 'Contemporary', 'Scandinavian']","['#205 of 840 European in Copenhagen', '#283 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
Godtfolk,"H.C. Andersens Boulevard 8, Copenhagen 1553 Denmark",4.5,54,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#206 of 840 European in Copenhagen', '#284 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 5.0), ('Value', 4.0)]"
Midori - Izakaya and Greenery,"Groennegade 28, Copenhagen 1107 Denmark",4.5,95,$$ - $$$,"['Japanese', 'Asian', 'Contemporary']","['#13 of 103 Japanese in Copenhagen', '#285 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Tèrra,"Ryesgade 65, Copenhagen 2100 Denmark",4.5,97,$$ - $$$,"['Italian', 'Mediterranean', 'Contemporary']",[],"[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Sushi Lovers,"Roemersgade 18, Copenhagen 1362 Denmark",4.5,137,$$ - $$$,"['Japanese', 'Seafood', 'Sushi']","['#14 of 103 Japanese in Copenhagen', '#287 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Cafe Fremtiden,"Skt. Annae Plads 22, Copenhagen 1250 Denmark",4.0,115,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#207 of 840 European in Copenhagen', '#288 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Restaurant Gilleleje,"Nyhavn 10, Copenhagen 1051 Denmark",4.5,106,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#209 of 840 European in Copenhagen', '#290 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Restaurant Grøften,"Vesterbrogade 3 Tivoli, Copenhagen 1620 Denmark",4.0,"1,031",$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#208 of 840 European in Copenhagen', '#289 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 3.5), ('Atmosphere', 4.0)]"
Soren K,"S. Kierkegaards Plads 1, Copenhagen 1221 Denmark",4.0,261,$$$$,"['European', 'Scandinavian', 'Danish']","['#210 of 840 European in Copenhagen', '#291 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Hot Buns,"Gothersgade 3, Copenhagen 1260 Denmark",4.0,455,$$ - $$$,"['American', 'Bar', 'Gastropub']","['#24 of 112 American in Copenhagen', '#292 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.0)]"
Lidkoeb,"Vesterbrogade 72B, Copenhagen 1620 Denmark",4.5,94,$$ - $$$,['Bar'],"['#29 of 177 Bar in Copenhagen', '#293 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Bindia Indisk Mad Take Away - Østerbro København,"Blegdamsvej 130, Copenhagen 2100 Denmark",4.0,197,$$ - $$$,"['Indian', 'Vegetarian Friendly', 'Vegan Options']","['#7 of 54 Indian in Copenhagen', '#294 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 3.5)]"
Salon 39,"Vodroffsvej 39, Frederiksberg, Copenhagen 1900 Denmark",4.0,166,$$ - $$$,['European'],"['#12 of 71 European in Frederiksberg', '#16 of 194 Restaurants in Frederiksberg']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
La Petanque,"Romersgade 9, Copenhagen Denmark",4.0,160,$$ - $$$,"['French', 'European', 'Vegetarian Friendly']","['#23 of 96 French in Copenhagen', '#295 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Scarpetta,"Islands Brygge 81F, Copenhagen 2300 Denmark",4.0,189,$$ - $$$,"['Italian', 'Mediterranean', 'Contemporary']","['#36 of 238 Italian in Copenhagen', '#296 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
GURU,"Jernbanegade 3 Copenhagen V, Copenhagen 1608 Denmark",4.0,860,$$ - $$$,"['Indian', 'Asian', 'Contemporary']",[],"[('Food', 4.5), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.5)]"
The South Indian Vesterbro,"Vesterbrogade 38 København, Copenhagen 1620 Denmark",4.0,207,$$ - $$$,"['Indian', 'Asian', 'Vegetarian Friendly']","['#9 of 54 Indian in Copenhagen', '#298 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
SimpleRAW,"Grabrodretorv 9 København K, Copenhagen 1154 Denmark",4.5,98,$$ - $$$,"['European', 'Healthy', 'Vegetarian Friendly']","['#212 of 840 European in Copenhagen', '#299 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Italo Disco,"Oehlenschlaegersgade 5, Copenhagen 1663 Denmark",4.5,78,$$ - $$$,"['Italian', 'Mediterranean', 'European']","['#37 of 238 Italian in Copenhagen', '#300 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Restaurant SULT,"Vognmagergade 8B, Copenhagen 1120 Denmark",4.0,263,$$ - $$$,"['European', 'Healthy', 'Scandinavian']","['#214 of 840 European in Copenhagen', '#301 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Wining & Dining,"Graabroedretorv 12, Copenhagen 1154 Denmark",4.5,135,$$ - $$$,"['French', 'European']","['#24 of 96 French in Copenhagen', '#302 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.0)]"
Restaurant Carl Nielsen,"Toldbodgade 5 3 house after the Nyhavns Broen - orange building, Copenhagen 1253 Denmark",4.5,36,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#216 of 840 European in Copenhagen', '#303 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Karma Sushi Nyhavn,"Nyhavn 63B, Copenhagen 1051 Denmark",4.0,316,$$ - $$$,"['Japanese', 'Sushi', 'Asian']","['#15 of 103 Japanese in Copenhagen', '#304 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 3.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Bistro Royal,"Kongens Nytorv 26, Copenhagen 1050 Denmark",4.0,610,$$ - $$$,"['European', 'Danish', 'Vegetarian Friendly']","['#217 of 840 European in Copenhagen', '#305 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.5)]"
Nyhavn 37,"Nyhavn 37, Copenhagen 1051 Denmark",4.0,301,$$ - $$$,"['Seafood', 'European', 'Scandinavian']","['#22 of 82 Seafood in Copenhagen', '#306 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.5)]"
Restaurant Melee,"Martensens Alle 16, Frederiksberg, Copenhagen 1828 Denmark",4.0,204,$$ - $$$,"['French', 'European', 'Gluten Free Options']","['#2 of 13 French in Frederiksberg', '#17 of 194 Restaurants in Frederiksberg']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Ma'ed,"Griffenfeldsgade 7, Copenhagen Denmark",4.5,116,$,"['African', 'Ethiopian', 'Vegetarian Friendly']","['#1 of 9 African in Copenhagen', '#307 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.5), ('Atmosphere', 4.0)]"
Tivoli Hotel,"Arni Magnussons Gade 2, Copenhagen 1577 Denmark",4.0,250,$$ - $$$,['Gluten Free Options'],"['#309 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Jensens Boefhus Copenhagen (Vesterbrogade),"Vesterbrogade 11A, Copenhagen 1620 Denmark",3.5,950,$$ - $$$,"['American', 'Steakhouse', 'Barbecue']","['#25 of 112 American in Copenhagen', '#308 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.0)]"
Granola,"Vaernedamsvej 5, Frederiksberg, Copenhagen 1819 Denmark",4.0,516,$$ - $$$,"['Cafe', 'European', 'Danish']","['#3 of 40 Cafe in Frederiksberg', '#18 of 194 Restaurants in Frederiksberg']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.5)]"
Gorda,"Enghavevej 5, Copenhagen 1674 Denmark",5.0,30,$,"['Latin', 'Argentinean', 'South American']","['#8 of 29 Latin in Copenhagen', '#310 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 5.0), ('Value', 5.0)]"
Oscar Bar Cafe,"Regnbuepladsen 7, Copenhagen Denmark",4.0,255,$$ - $$$,"['Bar', 'Cafe', 'European']","['#30 of 177 Bar in Copenhagen', '#311 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Nyhavns Faergekro,"Nyhavn 5, Copenhagen 1051 Denmark",4.0,"1,074",$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#221 of 840 European in Copenhagen', '#312 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.5)]"
Restaurant Godt,"Gothersgade 38, St., Copenhagen 1123 Denmark",4.5,100,$$$$,"['European', 'Scandinavian', 'Danish']","['#222 of 840 European in Copenhagen', '#313 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Krystal Sandwich,"Krystalgade 5, Copenhagen 1172 Denmark",5.0,38,$,"['European', 'Danish', 'Vegetarian Friendly']","['#223 of 840 European in Copenhagen', '#314 of 1,971 Restaurants in Copenhagen']",[]
Restaurant Diamond Rice,"Bredgade 29, Copenhagen 1260 Denmark",4.0,329,$$ - $$$,"['Chinese', 'Seafood', 'Asian']","['#3 of 45 Chinese in Copenhagen', '#315 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 5.0)]"
Toldbod Bodega,"Esplanaden 4 DK-1263 Copenhagen, Copenhagen 1263 Denmark",4.0,197,$$ - $$$,['Danish'],"['#186 of 636 Danish in Copenhagen', '#316 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Restaurant Silo,"Helsinkigade 29, Copenhagen 2150 Denmark",4.0,208,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#224 of 840 European in Copenhagen', '#317 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0)]"
La Bonne,"Smallegade 39, Frederiksberg, Copenhagen 2000 Denmark",4.5,43,$$ - $$$,"['French', 'Cafe', 'European']","['#3 of 13 French in Frederiksberg', '#19 of 194 Restaurants in Frederiksberg']","[('Food', 5.0), ('Service', 5.0), ('Value', 5.0)]"
Bankeråt,"Ahlefeldtsgade 27/29, Copenhagen 1359 Denmark",4.0,132,$$ - $$$,"['Bar', 'Cafe', 'Grill']","['#31 of 177 Bar in Copenhagen', '#318 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Falafel Factory,"Noerrebrogade 63, Copenhagen 2200 Denmark",4.5,51,$,"['Lebanese', 'Fast Food', 'Middle Eastern']","['#2 of 12 Lebanese in Copenhagen', '#319 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
La Galette,"Larsbjoernsstraede 9, Copenhagen 1454 Denmark",4.0,218,$$ - $$$,"['French', 'European', 'Vegetarian Friendly']","['#25 of 96 French in Copenhagen', '#320 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 4.0), ('Atmosphere', 3.5)]"
Ristorante Fabio,"Falkoner Alle 56, Frederiksberg, Copenhagen 2000 Denmark",4.0,319,$$ - $$$,"['Italian', 'Mediterranean', 'European']","['#8 of 22 Italian in Frederiksberg', '#20 of 194 Restaurants in Frederiksberg']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.5)]"
Il Ponte Restaurant,"Lavendelstraede 6, Copenhagen 1462 Denmark",4.0,205,$$ - $$$,"['Italian', 'European', 'Vegetarian Friendly']","['#38 of 238 Italian in Copenhagen', '#321 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Restaurant M,"Store Kongensgade 56, Copenhagen 1264 Denmark",4.0,166,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#227 of 840 European in Copenhagen', '#322 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Restaurant Sankt Annae,"12 Sankt Annae Plads, Copenhagen Denmark",4.0,254,$$$$,"['European', 'Scandinavian', 'Danish']","['#228 of 840 European in Copenhagen', '#323 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.5)]"
Orangeriet,"Kronprinsessegade 13, Copenhagen Denmark",4.0,344,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#229 of 840 European in Copenhagen', '#325 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 4.5)]"
Restaurant LeLe,"Vesterbrogade 40, Copenhagen 1620 Denmark",3.5,497,$$ - $$$,"['Asian', 'Contemporary', 'Vietnamese']","['#41 of 226 Asian in Copenhagen', '#324 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Sticks'n'Sushi,"Strandvejen 199, Copenhagen 2900 Denmark",4.0,120,$$ - $$$,"['Japanese', 'Sushi', 'Asian']","['#16 of 103 Japanese in Copenhagen', '#326 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Kopan Rice,"Linnesgade 24 KOPAN STREET | Torvehallerne KBH, Copenhagen 1361 Denmark",4.5,46,$,"['Asian', 'Korean', 'Fusion']","['#43 of 226 Asian in Copenhagen', '#327 of 1,971 Restaurants in Copenhagen']","[('Food', 5.0), ('Service', 4.5), ('Value', 4.5)]"
Hereford Steak,"Store Kongensgade 38, Copenhagen 1264 Denmark",4.0,268,$$ - $$$,"['Steakhouse', 'European']","['#11 of 32 Steakhouse in Copenhagen', '#328 of 1,971 Restaurants in Copenhagen']","[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.5)]"
Rambla,"Arne Jacobsens Alle 9, Copenhagen 2300 Denmark",4.0,251,$$ - $$$,"['International', 'Mediterranean', 'European']","['#19 of 95 International in Copenhagen', '#329 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 4.0)]"
K-Bar,"Ved Stranden 20, Copenhagen 1061 Denmark",4.5,78,$$ - $$$,[],"['#330 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.5)]"
Thai Pan,"Korsgade 1, Copenhagen 2200 Denmark",4.0,159,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']","['#44 of 226 Asian in Copenhagen', '#331 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Rasoi - Indian Cuisine,"Oerestads Boulevard 55B, Copenhagen 2300 Denmark",4.0,208,$$ - $$$,"['Indian', 'Asian', 'Vegetarian Friendly']","['#10 of 54 Indian in Copenhagen', '#332 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.5)]"
CUBE Bar,"Vesterbrogade 11B, Copenhagen 2620 Denmark",4.5,59,$$ - $$$,[],"['#334 of 1,971 Restaurants in Copenhagen']","[('Service', 5.0), ('Value', 4.5)]"
Sticks'n'Sushi,"Gammel Kongevej 120, Copenhagen 1850 Denmark",4.0,125,$$ - $$$,"['Japanese', 'Sushi', 'Asian']","['#17 of 103 Japanese in Copenhagen', '#335 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.0)]"
Restaurant Kareten,"Hollaenderdybet 1, Copenhagen 2300 Denmark",4.5,110,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#233 of 840 European in Copenhagen', '#336 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Restaurant Viva,"Langebrogade 570, Copenhagen 1411 Denmark",4.5,119,$$ - $$$,"['Seafood', 'European', 'Scandinavian']","['#24 of 82 Seafood in Copenhagen', '#337 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
FAMO Metro,"Oester Soegade 114, Copenhagen 2100 Denmark",4.0,143,$$ - $$$,"['Italian', 'European', 'Vegetarian Friendly']","['#39 of 238 Italian in Copenhagen', '#338 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.0), ('Atmosphere', 4.0)]"
Ristorante Cafe Leo,"Soelvgade 2 Kobenhavn K, Copenhagen 1307 Denmark",4.5,118,$$ - $$$,"['Italian', 'Pizza', 'European']","['#40 of 238 Italian in Copenhagen', '#339 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.5), ('Atmosphere', 4.0)]"
Fru Nimb,"Bernstorffsgade 5, Copenhagen 1630 Denmark",4.0,251,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#232 of 840 European in Copenhagen', '#333 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Bar Hva Be`Har,"Bredgade 78, Copenhagen 1260 Denmark",4.0,108,$$ - $$$,"['European', 'Scandinavian', 'Danish']","['#239 of 840 European in Copenhagen', '#340 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.0), ('Value', 3.5)]"
Restaurant D'Angleterre,"Kongens Nytorv 34, Copenhagen 1050 Denmark",4.5,126,$$$$,"['French', 'European', 'Scandinavian']","['#26 of 96 French in Copenhagen', '#341 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0), ('Atmosphere', 4.5)]"
Mercante Copenhagen,"Valkendorfsgade 34, Copenhagen 1151 Denmark",4.0,116,$$ - $$$,"['Italian', 'Mediterranean', 'European']","['#41 of 238 Italian in Copenhagen', '#342 of 1,971 Restaurants in Copenhagen']","[('Food', 4.0), ('Service', 4.5), ('Value', 4.0)]"
Hot Pot Republic,"Vesterbrogade 146, Copenhagen 1620 Denmark",4.0,117,$$ - $$$,"['Japanese', 'Asian', 'Korean']","['#18 of 103 Japanese in Copenhagen', '#343 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.5), ('Value', 4.0)]"
Pizzeria Luca,"Gammel Strand 42, Copenhagen 1202 Denmark",4.5,63,$$ - $$$,"['Italian', 'Pizza', 'Northern-Italian']","['#42 of 238 Italian in Copenhagen', '#344 of 1,971 Restaurants in Copenhagen']","[('Food', 4.5), ('Service', 4.0), ('Value', 4.5)]"
